d_bar,winner,win,d_call,d_inner,exp
simon lam,defendant,1,1989,,29
janet ho,defendant,1,2009,,9
"benjamin yu, sc",defendant,1,1979,1995,39
jin pao,defendant,1,2002,,16
t c. w.ong,defendant,1,1974,,44
charles sussex sc,defendant,1,1983,2000,35
c yau,defendant,1,1983,,35
kam cheung,defendant,1,1985,,33
clement au,defendant,1,2011,,7
daniel chan,plaintiff,0,1994,,24
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
ian polson,defendant,1,1985,,33
sharon yuen,defendant,1,2017,,1
mike lui,plaintiff,0,2006,,12
jonathan kwan,defendant,1,2003,,15
kevin chan,defendant,1,1981,,37
leung sze lum,defendant,1,2016,,2
laurence li,defendant,1,2006,,12
queenie lau,defendant,1,2008,,10
chua guan hock,defendant,1,1987,,31
trevor beel,defendant,1,1997,,21
leonard chow,plaintiff,0,2014,,4
kenneth shum,defendant,1,1996,,22
thomas lai,defendant,1,1978,,40
daniel chan,defendant,1,1994,,24
in person,defendant,1,2018,,0
billy li,defendant,1,2016,,2
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
jonathan t. y. chang,plaintiff,0,1995,,23
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
"audrey eu, sc",plaintiff,0,1978,1993,40
jacqueline lam,defendant,1,2012,,6
queenie ng,defendant,1,1999,,19
james man,plaintiff,0,2014,,4
in person,plaintiff,0,2018,,0
man yiu ting,defendant,1,2003,,15
raymond chui,defendant,1,2008,,10
in person,defendant,1,2018,,0
nicholas cooney,defendant,1,2000,,18
justin ho,plaintiff,0,2013,,5
kwan tong lee,defendant,1,1992,,26
pauline leung,defendant,1,2000,,18
paul h m leung,defendant,1,1993,,25
george chu,defendant,1,1994,,24
wilson leung,defendant,1,2008,,10
patrick d lim,plaintiff,0,1982,,36
tommy lo,defendant,1,1999,,19
p k chan,defendant,1,1985,,33
nicholas cooney,defendant,1,2000,,18
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
alexander tang,defendant,1,2011,,7
damian wong,defendant,1,2002,,16
sharon ng,defendant,1,2015,,3
jasper kwan,plaintiff,0,1995,,23
paul h m leung,defendant,1,1993,,25
patrick siu,defendant,1,2011,,7
michael arthur,defendant,1,2000,,18
dick lee kwok fu,defendant,1,2006,,12
lawrence cheung,defendant,1,2004,,14
vivien chan man wai,defendant,1,2016,,2
money lo,defendant,1,2002,,16
liza li,defendant,1,1988,,30
benjamin chain,defendant,1,1980,,38
patrick szeto,defendant,1,1995,,23
wong po wing,defendant,1,1978,,40
timothy y h wong,defendant,1,2005,,13
stony chan,defendant,1,2015,,3
lau ka kin,defendant,1,2000,,18
eugene fung sc,plaintiff,0,1997,2012,21
in person,defendant,1,2018,,0
wayne hariman,defendant,1,2009,,9
thomas wong,defendant,1,2014,,4
adrian but,plaintiff,0,2011,,7
tim c h yu,defendant,1,1993,,25
douglas kwok,plaintiff,0,1998,,20
stewart wong sc,defendant,1,1987,2011,31
in person,defendant,1,2018,,0
frederick h f chan,plaintiff,0,1993,,25
benny lo,defendant,1,2008,,10
"victor dawes, sc",defendant,1,1999,2015,19
lee tung ming,plaintiff,0,1994,,24
ian chau,defendant,1,2013,,5
tim kwok,defendant,1,1984,,34
michael lok,defendant,1,2014,,4
jay cheung,plaintiff,0,2015,,3
frances lok,plaintiff,0,2007,,11
ting ka yu,defendant,1,1997,,21
yvonne cheng sc,defendant,1,1996,2013,22
ken to,defendant,1,2018,,0
ken to,defendant,1,2018,,0
in person,defendant,1,2018,,0
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
hectar pun,plaintiff,0,1995,,23
leon ho,plaintiff,0,2013,,5
philips b f wong,defendant,1,2001,,17
chow ho kiu,defendant,1,2011,,7
athena wong,defendant,1,2013,,5
alexander tang,defendant,1,2011,,7
in person,defendant,1,2018,,0
douglas kwok,defendant,1,1998,,20
abraham chan,defendant,1,2000,,18
isaac yung,plaintiff,0,2015,,3
joshua chan,defendant,1,2017,,1
paul h m leung,defendant,1,1993,,25
lincoln cheung,defendant,1,2010,,8
in person,defendant,1,2018,,0
adrian lai,defendant,1,2007,,11
man hon chiu,defendant,1,2008,,10
in person,defendant,1,2018,,0
justin lam,defendant,1,2013,,5
douglas kwok,defendant,1,1998,,20
eva sit,defendant,1,2002,,16
in person,defendant,1,2018,,0
john yan,defendant,1,1984,,34
john yan,defendant,1,1984,,34
in person,defendant,1,2018,,0
victor gidwani,plaintiff,0,1994,,24
poon siu bunn,defendant,1,2008,,10
alexander tang,defendant,1,2011,,7
alexander tang,defendant,1,2011,,7
alexander tang,defendant,1,2011,,7
alexander tang,defendant,1,2011,,7
alexander tang,defendant,1,2011,,7
alexander tang,defendant,1,2011,,7
steven kwan,defendant,1,1992,,26
candy tang,defendant,1,2011,,7
maurice peter tracy,defendant,1,1993,,25
gavin wan,defendant,1,2015,,3
adrian wong,defendant,1,2011,,7
bernard man sc,plaintiff,0,2000,2015,18
chan pat lun,defendant,1,1994,,24
toby brown,defendant,1,2013,,5
toby brown,defendant,1,2013,,5
sharon yuen,defendant,1,2017,,1
dennis w h kwok,defendant,1,1999,,19
lam wing kit,plaintiff,0,1992,,26
thomas wong,defendant,1,2014,,4
paul leung,defendant,1,1986,,32
stephanie wong,defendant,1,2016,,2
in person,defendant,1,2018,,0
richard todd,plaintiff,0,2014,,4
jeremy bartlett,defendant,1,1999,,19
sara tong,defendant,1,2003,,15
in person,defendant,1,2018,,0
sunny chan,defendant,1,2013,,5
leonard chow,defendant,1,2014,,4
richard leung,defendant,1,1994,,24
abraham chan sc,defendant,1,2000,2017,18
james h m mcgowan,defendant,1,1989,,29
martin kok,defendant,1,2014,,4
christopher chain,plaintiff,0,2008,,10
jenkin suen,plaintiff,0,2004,,14
kam cheung,plaintiff,0,1985,,33
miranda li,defendant,1,2012,,6
sebastian hughes,plaintiff,0,2010,,8
phillip ross,defendant,1,1994,,24
ken to,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
ashley s burns sc,defendant,1,1996,2007,22
in person,plaintiff,0,2018,,0
paul shieh sc,defendant,1,1988,2003,30
chan pak kong,defendant,1,1994,,24
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
matthew ngai,defendant,1,2013,,5
patrick d. lim,plaintiff,0,1982,,36
roland lau,plaintiff,0,1997,,21
patrick chiu,plaintiff,0,2016,,2
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
robert chan,plaintiff,0,2004,,14
andrew lynn,defendant,1,2009,,9
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
jeffrey chau,defendant,1,2007,,11
timothy parker,defendant,1,2009,,9
audrey eu,plaintiff,0,1978,,40
in person,plaintiff,0,2018,,0
dickson chan,defendant,1,2015,,3
tony ng,defendant,1,1994,,24
sebastian hughes,defendant,1,2010,,8
tom ng,plaintiff,0,2016,,2
lewis law,plaintiff,0,2005,,13
david boyton,defendant,1,1997,,21
in person,defendant,1,2018,,0
tara liao,plaintiff,0,2015,,3
victor gidwani,plaintiff,0,1994,,24
janet ho,defendant,1,2009,,9
tom ng,plaintiff,0,2016,,2
paul lam sc,defendant,1,1992,2013,26
alex h k fan,defendant,1,2006,,12
roland lau,defendant,1,1997,,21
alison choy,plaintiff,0,2014,,4
martin kok,plaintiff,0,2014,,4
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
patrick chiu,defendant,1,2016,,2
alex h k fan,plaintiff,0,2006,,12
alexsander wong,plaintiff,0,2012,,6
chase pun,plaintiff,0,2007,,11
jacky c y yeung,defendant,1,1997,,21
justin lam,defendant,1,2013,,5
martin ho,defendant,1,2014,,4
anthony chan,defendant,1,2005,,13
in person,defendant,1,2018,,0
yvonne fong,defendant,1,2005,,13
erik shum,defendant,1,1985,,33
edward chan,defendant,1,1975,,43
tony ko,defendant,1,2006,,12
ma on ki,defendant,1,2015,,3
k li,defendant,1,1982,,36
richard todd,defendant,1,2014,,4
anthony chan,defendant,1,2005,,13
benjamin chain,plaintiff,0,1980,,38
ronny tong sc,plaintiff,0,1975,1990,43
ronny tong sc,plaintiff,0,1975,1990,43
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
sara tong,defendant,1,2003,,15
holden slutsky,defendant,1,2013,,5
holden slutsky,defendant,1,2013,,5
benjamin yu,plaintiff,0,1979,,39
benjamin yu,plaintiff,0,1979,,39
abraham chan,defendant,1,2000,,18
victor luk,defendant,1,1992,,26
benny lo,plaintiff,0,2008,,10
justin lam,defendant,1,2013,,5
edward chan,defendant,1,1975,,43
charles sussex sc,plaintiff,0,1983,2000,35
vincent lung,defendant,1,2007,,11
raymond lau,plaintiff,0,1993,,25
raymond lau,plaintiff,0,1993,,25
richard zimmern,defendant,1,1996,,22
wilson leung,defendant,1,2008,,10
wilson leung,defendant,1,2008,,10
wilson leung,defendant,1,2008,,10
jonathan chang,defendant,1,2001,,17
jonathan chang,defendant,1,2001,,17
tom ng,defendant,1,2016,,2
elizabeth cheung,plaintiff,0,2007,,11
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
tom ng,defendant,1,2016,,2
philips b f wong,defendant,1,2001,,17
jonathan chan,plaintiff,0,2001,,17
alison choy,defendant,1,2014,,4
johnny mok,defendant,1,1986,,32
rachel wong,defendant,1,2011,,7
brian chok,plaintiff,0,2016,,2
lo ka chun,plaintiff,0,1989,,29
kenny c p lin,plaintiff,0,1989,,29
chan chun sang,defendant,1,1993,,25
jeff chan,defendant,1,2017,,1
percy yue,plaintiff,0,2008,,10
leung chun keung,defendant,1,1991,,27
philips b f wong,plaintiff,0,2001,,17
in person,plaintiff,0,2018,,0
sebastian hughes,plaintiff,0,2010,,8
in person,plaintiff,0,2018,,0
monica chow,defendant,1,1988,,30
william wong,plaintiff,0,1997,,21
anita ma,plaintiff,0,1989,,29
kim j mccoy,defendant,1,2016,,2
kim j mccoy,defendant,1,2016,,2
monica chow,plaintiff,0,1988,,30
tom ng,plaintiff,0,2016,,2
ronny tong,defendant,1,1975,,43
ronny tong,defendant,1,1975,,43
ronny tong,defendant,1,1975,,43
isaac chan,defendant,1,2007,,11
isaac chan,defendant,1,2007,,11
joseph wong,plaintiff,0,2015,,3
raymond lau,plaintiff,0,1993,,25
patrick siu,defendant,1,2011,,7
ken to,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
patrick siu,defendant,1,2011,,7
k m chong,plaintiff,0,1980,,38
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
leung chun keung,defendant,1,1991,,27
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
daniel kuan,defendant,1,2014,,4
james man,defendant,1,2014,,4
edward alder,defendant,1,2006,,12
in person,plaintiff,0,2018,,0
arthur yip,defendant,1,2000,,18
james niehorster,defendant,1,2001,,17
john reading sc,plaintiff,0,2002,1999,16
peter k c wong,plaintiff,0,1985,,33
lai chun ho,defendant,1,2017,,1
hectar pun sc,defendant,1,1995,2015,23
alvin chong,defendant,1,2014,,4
lai chun ho,defendant,1,2017,,1
mike yeung,defendant,1,2016,,2
winnie chan,defendant,1,1992,,26
lareina joan chan,defendant,1,2014,,4
jo siu,defendant,1,1992,,26
kenwick yam,plaintiff,0,2012,,6
jonathan chang,defendant,1,2001,,17
simon westbrook sc,defendant,1,1981,2001,37
kaiser leung,plaintiff,0,2015,,3
wallis chung,plaintiff,0,2014,,4
billy k y kwan,plaintiff,0,2011,,7
danny tang,plaintiff,0,2017,,1
sabrina leung,plaintiff,0,2016,,2
randy shek,plaintiff,0,2008,,10
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
martin wong,defendant,1,2004,,14
lawrence cheung,plaintiff,0,2004,,14
wong ka lam king,plaintiff,0,1989,,29
roland lau,defendant,1,1997,,21
raymond k h chui,plaintiff,0,1994,,24
in person,plaintiff,0,2018,,0
trevor beel,defendant,1,1997,,21
astina au,defendant,1,2016,,2
david boyton,defendant,1,1997,,21
benjamin lam,defendant,1,2015,,3
ellen pang,plaintiff,0,2016,,2
john hui,defendant,1,2008,,10
azan marwah,plaintiff,0,2012,,6
justin lam,defendant,1,2013,,5
yvonne cheung,defendant,1,2018,,0
alison choy,defendant,1,2014,,4
ambrose ho sc,plaintiff,0,1984,2000,34
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
carol shek,defendant,1,2013,,5
david boyton,plaintiff,0,1997,,21
mike lui,defendant,1,2006,,12
