p_bar,winner,win,p_call,p_inner,exp
ian polson,defendant,0,1985,,33
gekko lan,plaintiff,1,1996,,22
frederick chan,defendant,0,1993,,25
edward poon,defendant,0,2006,,12
timothy t y lam,defendant,0,1992,,26
victor joffe,defendant,0,2011,,7
victor joffe,defendant,0,2011,,7
victor joffe,defendant,0,2011,,7
chrystal choy,plaintiff,1,2015,,3
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
"philip dykes, sc",plaintiff,1,1985,1997,33
duncan percy,defendant,0,1986,,32
ernest koo,defendant,0,1993,,25
norman nip,plaintiff,1,2006,,12
vincent lung,defendant,0,2007,,11
yvonne fong,plaintiff,1,2005,,13
lawrence cheung,defendant,0,2004,,14
yip wing san,defendant,0,2004,,14
ernest ng,plaintiff,1,2010,,8
lee siu him,defendant,0,2007,,11
lau ka kin,defendant,0,2000,,18
charles manzoni sc,defendant,0,2000,2012,18
martin wong,plaintiff,1,2004,,14
queenie lau,defendant,0,2008,,10
thomas lai,defendant,0,1978,,40
timothy lam,plaintiff,1,2016,,2
prakash l daryanani,defendant,0,2017,,1
lewis law,defendant,0,2005,,13
edward alder,defendant,0,2006,,12
priscilla chow,defendant,0,2015,,3
duncan percy,plaintiff,1,1986,,32
tony ng,defendant,0,1994,,24
mona chhoa,defendant,0,2002,,16
teresa wu,defendant,0,2000,,18
richard turnbull,defendant,0,2004,,14
douglas lam,defendant,0,1999,,19
ma on ki,defendant,0,2015,,3
raymond lau,defendant,0,1993,,25
foster yim,defendant,0,2011,,7
tony ng,defendant,0,1994,,24
nicholas oh,plaintiff,1,2014,,4
lau hon wang kenny,defendant,0,2014,,4
paul lam sc,defendant,0,1992,2013,26
tom ng,defendant,0,2016,,2
sabrina ho,plaintiff,1,2009,,9
prakash l daryanani,defendant,0,2017,,1
edward m h chan,defendant,0,1987,,31
kevin li,plaintiff,1,2006,,12
tom ng,defendant,0,2016,,2
randy shek,plaintiff,1,2008,,10
paul shieh sc,defendant,0,1988,2003,30
nicholas cooney,defendant,0,2000,,18
benjamin lam,defendant,0,2015,,3
vincent lung,defendant,0,2007,,11
jonathan wong,plaintiff,1,1998,,20
s lui,plaintiff,1,1983,,35
ronny tong sc,defendant,0,1975,1990,43
edward alder,defendant,0,2006,,12
dennis kwok,plaintiff,1,2006,,12
alvin chong,defendant,0,2014,,4
mike lui,defendant,0,2006,,12
isaac yung,defendant,0,2015,,3
isaac yung,defendant,0,2015,,3
patrick siu,defendant,0,2011,,7
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
lawrence lok,plaintiff,1,1979,,39
julia lau,plaintiff,1,1995,,23
tony ng,defendant,0,1994,,24
alexander tang,defendant,0,2011,,7
tom ng,defendant,0,2016,,2
jin pao,defendant,0,2002,,16
prakash l daryanani,defendant,0,2017,,1
prakash l daryanani,defendant,0,2017,,1
randy shek,defendant,0,2008,,10
ronald pang,plaintiff,1,2016,,2
jin pao,defendant,0,2002,,16
vincent s k chen,defendant,0,2008,,10
johnny ma,defendant,0,1999,,19
tommy cheung,defendant,0,2017,,1
victor joffe,defendant,0,2011,,7
katherine olley,defendant,0,2015,,3
alexsander wong,defendant,0,2012,,6
azan marwah,defendant,0,2012,,6
david tang,defendant,0,2005,,13
william wong sc,defendant,0,1997,2013,21
randy shek,defendant,0,2008,,10
john hui,defendant,0,2008,,10
forest fong,defendant,0,2013,,5
mike lui,defendant,0,2006,,12
mike lui,defendant,0,2006,,12
paul h m leung,defendant,0,1993,,25
kaiser leung,plaintiff,1,2015,,3
albert yau,defendant,0,1983,,35
law man chung,defendant,0,1997,,21
law man chung,defendant,0,1997,,21
law man chung,defendant,0,1997,,21
law man chung,defendant,0,1997,,21
law man chung,defendant,0,1997,,21
law man chung,defendant,0,1997,,21
norman nip,defendant,0,2006,,12
tony t f ng,defendant,0,1994,,24
anthony sherry,defendant,0,2005,,13
michael lok,defendant,0,2014,,4
andy hung,defendant,0,1986,,32
eugene kwok,plaintiff,1,2008,,10
foster yim,defendant,0,2011,,7
russell coleman,defendant,0,1991,,27
russell coleman,defendant,0,1991,,27
martin ho,defendant,0,2014,,4
adrian but,defendant,0,2011,,7
christopher chain,plaintiff,1,2008,,10
benjamin chain,defendant,0,1980,,38
cathy chan,defendant,0,2010,,8
douglas clark,defendant,0,2011,,7
jeremy s k chan,plaintiff,1,1999,,19
shiranne richards,defendant,0,2015,,3
philip dykes sc,defendant,0,1985,1997,33
prakash l daryanani,defendant,0,2017,,1
chu wai tung,defendant,0,1996,,22
peter k c wong,defendant,0,1985,,33
sheena wong,defendant,0,2017,,1
leslie james parry,defendant,0,2002,,16
benjamin yu sc,defendant,0,1979,1995,39
william wong sc,defendant,0,1997,2013,21
bernard man,plaintiff,1,2000,,18
eleanor yeung,plaintiff,1,2010,,8
kam cheung,plaintiff,1,1985,,33
connie lee,defendant,0,2009,,9
philips b f wong,plaintiff,1,2001,,17
alan kwong,plaintiff,1,2008,,10
kelvin man,defendant,0,2017,,1
chan pat lung,defendant,0,1994,,24
ivan cheung spp,plaintiff,1,1998,,20
david chen,plaintiff,1,2011,,7
audrey eu sc,defendant,0,1978,1993,40
alvin tsang,defendant,0,2008,,10
gary leung,defendant,0,2011,,7
alvin tsang,defendant,0,2008,,10
tim t. s. kwok,plaintiff,1,2016,,2
boey chung,plaintiff,1,1992,,26
raymond tsui,plaintiff,1,1990,,28
c t lee,plaintiff,1,1974,,44
ivan cheung spp,defendant,0,1998,,20
k m chong,defendant,0,1980,,38
bianca yu,defendant,0,2013,,5
kaiser leung,plaintiff,1,2015,,3
chan pat lun,plaintiff,1,1994,,24
connie lee,defendant,0,2009,,9
osmond lam,defendant,0,1991,,27
douglas clark,defendant,0,2011,,7
joshua chan,plaintiff,1,2017,,1
law man chung,plaintiff,1,1997,,21
law man chung,plaintiff,1,1997,,21
law man chung,plaintiff,1,1997,,21
law man chung,plaintiff,1,1997,,21
law man chung,plaintiff,1,1997,,21
law man chung,plaintiff,1,1997,,21
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
simon westbrook sc,plaintiff,1,1981,2001,37
lee tung ming,plaintiff,1,1994,,24
terence wai,defendant,0,1981,,37
meyrick w k wong,plaintiff,1,1989,,29
eva sit,defendant,0,2002,,16
raymond leung sc,defendant,0,1976,False,42
wong cho lik,defendant,0,2014,,4
simon wong,defendant,0,2007,,11
patrick chong,plaintiff,1,1997,,21
ifan chan,plaintiff,1,1996,,22
kelvin k h liu,defendant,0,2001,,17
kam cheung,defendant,0,1985,,33
joseph wong,plaintiff,1,2015,,3
simon wong,plaintiff,1,2007,,11
toby brown,defendant,0,2013,,5
john reading sc,defendant,0,2002,1999,16
john reading sc,defendant,0,2002,1999,16
martin ho,defendant,0,2014,,4
connie lee,defendant,0,2009,,9
liu chin yu,defendant,0,2002,,16
tom ng,defendant,0,2016,,2
dominic w h pun,defendant,0,2007,,11
"j chan, of boase",defendant,0,1982,,36
jeremy s k chan,defendant,0,1999,,19
horace wong sc,defendant,0,1984,2004,34
leo wong,plaintiff,1,2012,,6
kerby lau,plaintiff,1,2013,,5
kerby lau,plaintiff,1,2013,,5
david p h wong,defendant,0,1989,,29
isaac chan,plaintiff,1,2007,,11
yip wing san,defendant,0,2004,,14
robert pang sc,defendant,0,1988,2012,30
linda chan sc,plaintiff,1,1996,2011,22
linda chan sc,plaintiff,1,1996,2011,22
p y lo,defendant,0,1988,,30
clifford smith sc,defendant,0,1982,2001,36
martin kok,plaintiff,1,2014,,4
charles sussex sc,defendant,0,1983,2000,35
ernest ng,defendant,0,2010,,8
"audrey eu, sc",defendant,0,1978,1993,40
edward alder,plaintiff,1,2006,,12
jonathan chan,defendant,0,2001,,17
winnie chan,plaintiff,1,1992,,26
winnie chan,plaintiff,1,1992,,26
charles manzoni sc,defendant,0,2000,2012,18
charles manzoni sc,defendant,0,2000,2012,18
charles manzoni sc,defendant,0,2000,2012,18
p y lo,defendant,0,1988,,30
p y lo,defendant,0,1988,,30
keith lam,defendant,0,2009,,9
jonathan wong,plaintiff,1,1998,,20
neil mitchell,plaintiff,1,1988,,30
prakash l daryanani,plaintiff,1,2017,,1
bonnie cheng,defendant,0,2011,,7
martin kok,defendant,0,2014,,4
anthony p w cheung,defendant,0,1992,,26
"paul shieh, sc",defendant,0,1988,2003,30
hectar pun sc,defendant,0,1995,2015,23
laurence li,plaintiff,1,2006,,12
karen y y lau,plaintiff,1,2011,,7
thomas wong,defendant,0,2014,,4
steven kwan,defendant,0,1992,,26
victor gidwani,plaintiff,1,1994,,24
duncan percy,defendant,0,1986,,32
prakash l daryanani,plaintiff,1,2017,,1
victor lui,plaintiff,1,2012,,6
"william m f wong, sc",defendant,0,1995,False,23
denise souza,defendant,0,2013,,5
clifford smith,plaintiff,1,1982,,36
shannon leung,plaintiff,1,2005,,13
anthony ismail,defendant,0,1979,,39
anthony ismail,defendant,0,1979,,39
shaphan marwah,plaintiff,1,2014,,4
tommy cheung,defendant,0,2017,,1
tommy cheung,defendant,0,2017,,1
tommy cheung,defendant,0,2017,,1
andy lam,defendant,0,2005,,13
andy lam,defendant,0,2005,,13
ryan law,plaintiff,1,2013,,5
vincent lam,plaintiff,1,2002,,16
justin ho,defendant,0,2013,,5
chantel lin,defendant,0,2014,,4
ebony ling,defendant,0,2012,,6
edward fan,plaintiff,1,1997,,21
victor joffe,defendant,0,2011,,7
teresa wu,plaintiff,1,2000,,18
prakash l daryanani,defendant,0,2017,,1
prakash l daryanani,defendant,0,2017,,1
duncan percy,defendant,0,1986,,32
martin kok,defendant,0,2014,,4
winnie chan,defendant,0,1992,,26
ann lui,defendant,0,2007,,11
eva sit,defendant,0,2002,,16
"johnny mok, sc",defendant,0,1986,2006,32
peter clayton sc,defendant,0,1982,2005,36
steven kwan,plaintiff,1,1992,,26
keith lam,plaintiff,1,2009,,9
matthew cheung,defendant,0,2015,,3
james man,defendant,0,2014,,4
jason yu,defendant,0,2012,,6
jason wong,plaintiff,1,1998,,20
isabel tam,defendant,0,2013,,5
ken to,defendant,0,2018,,0
geoffrey yeung,defendant,0,2018,,0
lam ka yau michael,plaintiff,1,2014,,4
matthew ngai,defendant,0,2013,,5
johnny mok sc,defendant,0,1986,2006,32
tim kwok,plaintiff,1,1984,,34
james man,plaintiff,1,2014,,4
lawrence k f ng,plaintiff,1,1993,,25
michael lok,plaintiff,1,2014,,4
jin pao,plaintiff,1,2002,,16
prakash l daryanani,plaintiff,1,2017,,1
prakash l daryanani,defendant,0,2017,,1
bernard man sc,defendant,0,2000,2015,18
alexsander wong,plaintiff,1,2012,,6
benjamin chain,plaintiff,1,1980,,38
azan marwah,plaintiff,1,2012,,6
albert yau,defendant,0,1983,,35
prakash l daryanani,plaintiff,1,2017,,1
benjamin lam,plaintiff,1,2015,,3
prakash l daryanani,defendant,0,2017,,1
robert chan,defendant,0,2004,,14
jin pao,plaintiff,1,2002,,16
gekko lan,defendant,0,1996,,22
tom ng,defendant,0,2016,,2
robin egerton,plaintiff,1,2004,,14
andrew mak,defendant,0,1988,,30
stephanie wong,defendant,0,2016,,2
anthony p w cheung,defendant,0,1992,,26
michael lok,plaintiff,1,2014,,4
prakash l daryanani,defendant,0,2017,,1
prakash l daryanani,defendant,0,2017,,1
andrew bruce sc,plaintiff,1,1996,1996,22
valentine yim,defendant,0,1986,,32
eugene kwok,defendant,0,2008,,10
barrie barlow sc,defendant,0,1984,2007,34
vincent li,defendant,0,2010,,8
lai chun ho,plaintiff,1,2017,,1
paul h m leung,plaintiff,1,1993,,25
ross yuen,defendant,0,2008,,10
simon s m yip,plaintiff,1,1981,,37
kirsteen james lau,defendant,0,2004,,14
leung chun keung,defendant,0,1991,,27
justin lam,defendant,0,2013,,5
jenkin suen,defendant,0,2004,,14
jenkin suen,defendant,0,2004,,14
sean li,plaintiff,1,2015,,3
martin ho,plaintiff,1,2014,,4
victor k. h. chiu,defendant,0,1999,,19
vincent lung,defendant,0,2007,,11
tommy lo,defendant,0,1999,,19
tommy lo,defendant,0,1999,,19
but sun wai,plaintiff,1,2018,,0
charles sussex sc,defendant,0,1983,2000,35
damian wong,defendant,0,2002,,16
eugene yim,plaintiff,1,2001,,17
david chen,defendant,0,2011,,7
michael lok,plaintiff,1,2014,,4
lewis law,defendant,0,2005,,13
paul shieh sc,defendant,0,1988,2003,30
paul shieh sc,defendant,0,1988,2003,30
paul shieh sc,defendant,0,1988,2003,30
clifford smith,defendant,0,1982,,36
ambrose  ho sc,defendant,0,1984,2000,34
matthew c s chong,defendant,0,1994,,24
benjamin yu sc,defendant,0,1979,1995,39
neal clough,plaintiff,1,1992,,26
jat sew tong sc,plaintiff,1,1989,2002,29
sebastian hughes,defendant,0,2010,,8
douglas clark,plaintiff,1,2011,,7
michael lok,defendant,0,2014,,4
christopher chain,defendant,0,2008,,10
janine cheung,defendant,0,1998,,20
benjamin yu,defendant,0,1979,,39
anthony ko,defendant,0,2013,,5
jonathan chang,defendant,0,2001,,17
ivan cheung,defendant,0,1998,,20
arthur yip,plaintiff,1,2000,,18
hectar pun,plaintiff,1,1995,,23
hectar pun,plaintiff,1,1995,,23
hectar pun,plaintiff,1,1995,,23
hectar pun,plaintiff,1,1995,,23
hectar pun,plaintiff,1,1995,,23
frances lok,plaintiff,1,2007,,11
miranda li,defendant,0,2012,,6
astina au,plaintiff,1,2016,,2
alan kwong,plaintiff,1,2008,,10
kay seto,defendant,0,2009,,9
kay seto,defendant,0,2009,,9
eva sit,defendant,0,2002,,16
benjamin yu sc,defendant,0,1979,1995,39
james kong,defendant,0,2009,,9
poon siu bunn,plaintiff,1,2008,,10
thomas lee,defendant,0,1999,,19
howard wong,defendant,0,2018,,0
athena wong,defendant,0,2013,,5
thomas lai,plaintiff,1,1978,,40
c y li sc,plaintiff,1,1975,False,43
c y li sc,plaintiff,1,1975,False,43
victor joffe,defendant,0,2011,,7
justin lam,defendant,0,2013,,5
jin pao sc,defendant,0,2002,2018,16
abraham chan,defendant,0,2000,,18
justin lam,defendant,0,2013,,5
stewart k m wong,plaintiff,1,1987,,31
keith lam,defendant,0,2009,,9
keith lam,defendant,0,2009,,9
michael ng,defendant,0,2018,,0
martin lee sc,defendant,0,1966,1979,52
martin lee sc,defendant,0,1966,1979,52
elizabeth cheung,plaintiff,1,2007,,11
tom ng,defendant,0,2016,,2
jonathan wong,defendant,0,1998,,20
t. lee,defendant,0,1980,,38
charles sussex sc,plaintiff,1,1983,2000,35
paul shieh sc,defendant,0,1988,2003,30
vincent lam,defendant,0,2002,,16
anson wong sc,plaintiff,1,1999,2014,19
lincoln cheung,defendant,0,2010,,8
kevin h m poon,defendant,0,1990,,28
jacqueline law,plaintiff,1,2014,,4
"hectar pun, sc",defendant,0,1995,2015,23
clifford smith sc,defendant,0,1982,2001,36
hylas chung,defendant,0,1995,,23
hylas chung,defendant,0,1995,,23
roland lau,plaintiff,1,1997,,21
sheena wong,defendant,0,2017,,1
justin lam,defendant,0,2013,,5
yanky lam,plaintiff,1,1999,,19
jason lee,defendant,0,2013,,5
james thomson,defendant,0,1992,,26
terrence tai,defendant,0,2016,,2
terrence tai,defendant,0,2016,,2
terrence tai,defendant,0,2016,,2
douglas clark,defendant,0,2011,,7
mike lui,plaintiff,1,2006,,12
felix ng,defendant,0,2009,,9
"benjamin yu, sc",plaintiff,1,1979,1995,39
"benjamin yu, sc",plaintiff,1,1979,1995,39
jason yu,defendant,0,2012,,6
isaac chan,defendant,0,2007,,11
terrence tai,plaintiff,1,2016,,2
alan kwong,plaintiff,1,2008,,10
jasmine cheung,defendant,0,2018,,0
kevin lee,plaintiff,1,2015,,3
george chu,plaintiff,1,1994,,24
ng wai wing,plaintiff,1,2007,,11
robert pang sc,defendant,0,1988,2012,30
linda chan,plaintiff,1,1996,,22
alice mok sc,defendant,0,1977,1997,41
clifford smith sc,plaintiff,1,1982,2001,36
osmond lam,defendant,0,1991,,27
lai chun ho,plaintiff,1,2017,,1
jonathan wong,plaintiff,1,1998,,20
billy yau,defendant,0,2015,,3
derek j y chan,plaintiff,1,2012,,6
jason pow sc,plaintiff,1,1986,2005,32
jason pow sc,plaintiff,1,1986,2005,32
kenneth chung,defendant,0,2002,,16
michael chai,defendant,0,2002,,16
michael chai,defendant,0,2002,,16
adrian lai,plaintiff,1,2007,,11
linda chan sc,defendant,0,1996,2011,22
benjamin chain,plaintiff,1,1980,,38
miranda li,defendant,0,2012,,6
michelle clough,defendant,0,2017,,1
kerby lau,defendant,0,2013,,5
daniel kuan,defendant,0,2014,,4
lawrence hui ,plaintiff,1,2001,,17
mike lui,defendant,0,2006,,12
ivan cheung spp,defendant,0,1998,,20
ivan cheung spp,plaintiff,1,1998,,20
victor cheng,defendant,0,2010,,8
elaine liu,defendant,0,2001,,17
wendy yeung,defendant,0,2013,,5
roland lau,defendant,0,1997,,21
miranda li,plaintiff,1,2012,,6
jay cheung,defendant,0,2015,,3
eddie ng,plaintiff,1,2016,,2
paul wong,plaintiff,1,2001,,17
